server_name,server_id,latency,jitter,packet_loss,download,upload,download_bytes,upload_bytes,share_url
"PS Lightwave, Inc - Houston, TX","25206","48.125","8.959","0","63091","62997","920067","859872","https://www.speedtest.net/result/c/7b4b4c0d-644d-4190-a077-b90cd04a69b0"
"Comcast - Houston, TX","1763","43.978","6.011","N/A","2028238","290303","22476596","4134970","https://www.speedtest.net/result/c/f91dece7-b6b3-4130-8181-b576aefc99d7"
"fdcservers.net - Houston, TX","26652","49.807","34.225","N/A","64024","62611","511141","706914","https://www.speedtest.net/result/c/297ffc2b-7e91-4d28-8c2a-644e428b9e9f"
"Comcast - Houston, TX","1763","78.842","10.143","N/A","1225451","265372","13219154","3660054","https://www.speedtest.net/result/c/c9467073-6957-4cd7-8be7-7e1088a8d4c8"
"fdcservers.net - Houston, TX","26652","82.968","16.009","N/A","62593","62637","776445","661906","https://www.speedtest.net/result/c/fe6d16af-a616-4610-8149-5f271737d939"
"Tachus Fiber Internet - Kingwood, TX","31015","50.802","11.988","0","64277","68748","643570","932690","https://www.speedtest.net/result/c/00fcfd60-3a2c-4b1a-b122-7f4b9c2d5df2"
"fdcservers.net - Houston, TX","26652","51.956","16.779","N/A","57517","63197","712117","724828","https://www.speedtest.net/result/c/92e456d7-5db1-4510-8561-a7a5b0f07366"
"En-Touch Systems Inc. - Houston, TX","11772","151.972","4.022","0","812654","269792","9480640","3783542","https://www.speedtest.net/result/c/42bd5e69-8db7-4596-99eb-18c37cd33e9d"
"Tachus Fiber Internet - Kingwood, TX","31015","114.948","15.736","0","64246","63667","818710","649130","https://www.speedtest.net/result/c/092b3bf0-136e-4914-97a7-a53244820b56"
"En-Touch Systems Inc. - Houston, TX","11772","49.969","11.55","0","1034068","307262","12200812","4221736","https://www.speedtest.net/result/c/7ca2c02b-cd9a-4c52-bea6-6e21e3d95e66"
"PS Lightwave, Inc - Houston, TX","25206","51.81","13.181","0","64131","63155","783135","800162","https://www.speedtest.net/result/c/eadd16aa-cf58-4e0a-b47e-26aae22bab41"
"fdcservers.net - Houston, TX","26652","64.993","11.049","N/A","69253","64634","788216","708292","https://www.speedtest.net/result/c/5f1f16ad-96d1-4f7c-9e93-9c3d323c59f9"
"PS Lightwave, Inc - Houston, TX","25206","92.084","45.272","0","62399","63800","753790","822286","https://www.speedtest.net/result/c/4431b45b-f88b-4146-962e-15d11e655a07"
"Tachus Fiber Internet - Kingwood, TX","31015","60.956","20.248","0","65467","66616","654764","553220","https://www.speedtest.net/result/c/39a5cb93-81a2-4d68-a5a8-a75319b5ce97"
"fdcservers.net - Houston, TX","26652","76.883","24.232","N/A","66133","65988","952236","604942","https://www.speedtest.net/result/c/38ae0b03-550a-4470-a8bc-8905057dccba"
