server_name,server_id,latency,jitter,packet_loss,download,upload,download_bytes,upload_bytes,share_url
"fdcservers.net - Houston, TX","26652","80.95","13.657","N/A","63316","64537","632430","682110","https://www.speedtest.net/result/c/fc5e728f-e3e5-4dab-9dcf-292ee76ad7bd"
"PS Lightwave, Inc - Houston, TX","25206","98.014","39.483","0","61355","62994","648278","817772","https://www.speedtest.net/result/c/acba4812-34b5-4a9e-ad35-64203567af8f"
"PS Lightwave, Inc - Houston, TX","25206","105.129","177.731","0","65638","63837","697973","674460","https://www.speedtest.net/result/c/e0d26984-1e87-4f18-9830-b0099545244a"
"Southern Broadband - Houston, TX","31868","158.72","1.201","0","62838","64729","681481","928772","https://www.speedtest.net/result/c/3df101ca-16c3-4256-94af-33efcdd0251f"
"PS Lightwave, Inc - Houston, TX","25206","111.048","26.226","0","63026","65762","665502","949442","https://www.speedtest.net/result/c/f3ef2e2b-848f-4581-9151-81da2a02044b"
"PS Lightwave, Inc - Houston, TX","25206","105.963","6.939","0","62083","235507","744393","3356808","https://www.speedtest.net/result/c/fcf6980c-c447-4fb5-81d1-f9f2a15d34ce"
"fdcservers.net - Houston, TX","26652","44.926","11.092","N/A","66231","64894","746578","940262","https://www.speedtest.net/result/c/34852a0d-b226-4c22-af85-c47feb67cfc5"
"PS Lightwave, Inc - Houston, TX","25206","51.954","13.273","0","58166","63370","681322","826800","https://www.speedtest.net/result/c/0abbedff-fe95-4150-b928-0923c9204be0"
"PS Lightwave, Inc - Houston, TX","25206","46.032","8.771","0","61826","62129","727351","736774","https://www.speedtest.net/result/c/a6d3cd06-b9c8-4206-837d-5f70f5e8715e"
"PS Lightwave, Inc - Houston, TX","25206","74.901","5.379","0","62857","62125","739979","832312","https://www.speedtest.net/result/c/3f3c2f03-371c-4e20-b09e-65c4b8e1d57f"
"fdcservers.net - Houston, TX","26652","104.948","48.851","N/A","64273","62358","635998","705080","https://www.speedtest.net/result/c/49fb0e4f-a9a8-4728-a9d6-a45e1721c0ed"
